the_geom,OBJECTID,CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPE.LEN,SCHOOLZONE,SCHOOLZONE_LIMIT,Status,MTAB_MOTION,MTAB_DATE,MTAB_RESO_TEXT,WorkOrder
"MULTILINESTRING ((-122.433747990105 37.771693216459, -122.435386199753 37.77148442766))",7648,6610000,HAIGHT,ST,,PIERCE ST,SCOTT ST,0,,,,,479.60103320800698,,,,,,,
"MULTILINESTRING ((-122.47952885727 37.782265704916, -122.479396199711 37.780339630299))",4390,1000000,20TH,AVE,,CLEMENT ST,GEARY BLVD,0,,,,,702.42708165418503,,,,,,,
"MULTILINESTRING ((-122.403805503613 37.802068591392, -122.403897349704 37.802525991029))",6677,9486000,NAPIER,LN,,FILBERT ST,END: 1-99 BLOCK,0,,,,,168.663492162361,,,,,,,
"MULTILINESTRING ((-122.472572131542 37.722998427182, -122.473436318025 37.723026188527))",10646,13737000,WYTON,LN,,JUNIPERO SERRA BLVD,STRATFORD DR,0,,,,,250.166958959326,,,,,,,
"MULTILINESTRING ((-122.458235716098 37.730782319726, -122.458485686097 37.730757765138, -122.458702152229 37.730756457383))",11745,9284102,MONTEREY,BLVD,,PLYMOUTH AVE,FAXON AVE,25,,,,,135.45344462895702,,,,,,,
"MULTILINESTRING ((-122.441162063704 37.780297682043, -122.44124042977 37.780199975509, -122.441752027 37.780134557924))",2333,10452000,PINAR,LN,,EDDY ST,BAKER ST,0,,,,,191.94773271984801,,,,,,,
"MULTILINESTRING ((-122.41450765135 37.769540721022, -122.414554585918 37.768880382023, -122.414553285165 37.768607138875))",6961,12671000,TRAINOR,ST,,13TH ST,14TH ST,0,,,,,340.34632132023506,,,,,,,
"MULTILINESTRING ((-122.416561752029 37.76687641548, -122.417658666287 37.766810185836))",8613,646000,15TH,ST,,SHOTWELL ST,SOUTH VAN NESS AVE,0,,,,,318.00704446730299,,,,,,,
"MULTILINESTRING ((-122.431569864958 37.748234416143, -122.433782298064 37.748101448603))",3769,1538000,26TH,ST,,NOE ST,CASTRO ST,0,,,,,641.55108635571503,,,,,,,
"MULTILINESTRING ((-122.420334746906 37.709917150234, -122.421016130832 37.710108742032))",16560,10296000,PARQUE,DR,,CARRIZAL ST,ESQUINA DR,0,,,,,209.10430029146403,,,,,,,
"MULTILINESTRING ((-122.402879518553 37.749483402113, -122.402995744704 37.749411122029, -122.403342978838 37.749396131058, -122.403628925686 37.749343074564, -122.40504082586 37.749074109763, -122.405177484614 37.749058267951, -122.405640161593 37.748975990599))",7389,2479101,CESAR CHAVEZ,ST,,BAY SHORE BLVD,BAY SHORE BLVD,0,,,,,824.99766515749002,,,,,,,
"MULTILINESTRING ((-122.424174679284 37.791086249668, -122.424353734503 37.791970314171))",10234,5827000,FRANKLIN,ST,,SACRAMENTO ST,CLAY ST,0,,,,,326.064337256469,,,,,,,
"MULTILINESTRING ((-122.416064640982 37.804360893445, -122.416709544746 37.804281762954))",7765,5764000,FRANCISCO,ST,,COLUMBUS AVE,JONES ST,0,,,,,188.546787810457,,,,,,,
"MULTILINESTRING ((-122.453929646734 37.745704861077, -122.45386305802 37.745654719319, -122.453653983012 37.745621821033, -122.453384849629 37.745614054655, -122.452236372932 37.745618269668, -122.451939849156 37.745574243981, -122.451761139504 37.7455301681, -122.451637203551 37.745539176802))",7457,13717201,WOODSIDE,AVE,,ULLOA ST,PORTOLA DR,35,,,,,675.46108318260201,,,,,,,
"MULTILINESTRING ((-122.394721852459 37.7639689615, -122.395695527763 37.763911931211))",1678,8718000,MARIPOSA,ST,,MISSISSIPPI ST,TEXAS ST,0,,,,,282.241951444449,,,,,,,
"MULTILINESTRING ((-122.447152041962 37.741882178885, -122.447225617124 37.741846661082, -122.447514604439 37.741791458338, -122.447813623014 37.74177663803))",15865,5232000,ENCLINE,CT,,START: 1-99 BLOCK,DEL VALE AVE,0,,,,,197.48618441153803,,,,,,,
"MULTILINESTRING ((-122.477735362424 37.717415940393, -122.477513967965 37.716019161421))",10021,7618000,JOSEPHA,AVE,,JUAN BAUTISTA CIR,GONZALEZ DR,0,,,,,512.64740388214102,,,,,,,
"MULTILINESTRING ((-122.427573663959 37.764579360054, -122.428678345069 37.764512555382))",14318,738000,16TH,ST,,LANDERS ST,CHURCH ST,25,,,TAMAMABDALLAH,05/10/2016 11:23:03 PM +0000,320.27149930563405,,,,,,,
"MULTILINESTRING ((-122.452344775038 37.723085179924, -122.451898926402 37.722752166655, -122.450257023597 37.722084937107, -122.450131439885 37.722087733006))",10477,6127201,GENEVA,AVE,,OCEAN AVE,HOWTH ST,25,,,,,746.82055211927104,,,,,,,
"MULTILINESTRING ((-122.408632061622 37.797632508759, -122.408821345352 37.798576270535))",6885,12210000,STOCKTON,ST,,BROADWAY,VALLEJO ST,0,,,,,347.99678642012702,,,,,,,
"MULTILINESTRING ((-122.40902282893 37.793020382957, -122.409374501026 37.792975718284))",13208,11235000,SACRAMENTO,ST,,MILLER PL,POWELL ST,0,,,,,102.91736104314501,,,,,,,
"MULTILINESTRING ((-122.414823337959 37.79782705777, -122.415084218098 37.797794074867))",6023,13101000,VALLEJO,ST,,FLORENCE ST,RUSSIAN HILL PL,0,,,,,76.33348182323239,,,,,,,
"MULTILINESTRING ((-122.483072111943 37.719798334951, -122.484653577143 37.719847022177))",14992,2082000,ACEVEDO,AVE,,ARBALLO DR,VIDAL DR,0,,,,,457.79580860603204,,,,,,,
"MULTILINESTRING ((-122.490630123281 37.772281283646, -122.491701271092 37.772232431648))",14295,5938000,FULTON,ST,,31ST AVE,32ND AVE,30,,,TAMAMABDALLAH,05/11/2016 06:38:31 PM +0000,310.13082198677301,,,,,,,
"MULTILINESTRING ((-122.399935162284 37.757524602068, -122.400231634423 37.757794488693, -122.40097298272 37.758137032826))",6386,12035000,SOUTHERN HEIGHTS,AVE,,CAROLINA ST,DE HARO ST,0,,,,,378.39162372207204,,,,,,,
"MULTILINESTRING ((-122.481871959732 37.739046483367, -122.482946277894 37.738999162257))",14556,13251000,VICENTE,ST,,25TH AVE,26TH AVE,25,,,,,311.15304084741501,,,,,,,
"MULTILINESTRING ((-122.488338042659 37.785210522895, -122.488230672122 37.783742091826))",4273,1576000,28TH,AVE,,LAKE ST,CALIFORNIA ST,0,,,,,535.62900050052201,,,,,,,
"MULTILINESTRING ((-122.429580157226 37.734328118819, -122.429435214979 37.733397763512))",11226,9031000,MILTON,ST,,SAN JOSE AVE,BOSWORTH ST,0,,,,,341.36945825629306,,,,,,,
"MULTILINESTRING ((-122.391953426347 37.785300884085, -122.392907685435 37.784756650299))",1200,19383000,I-80 WESTBOUND,,,I-80 W OFF RAMP,I-80 W OFF RAMP,99,,,,,339.608778756633,,,,,,,
"MULTILINESTRING ((-122.42596201302 37.709119153708, -122.425828969188 37.709128035275, -122.425679351983 37.709324898413, -122.425704161686 37.709370551965, -122.426002947119 37.709459444087, -122.426086735646 37.709352046829))",15254,12939000,RIDGE,CT,,SADDLEBACK DR,SADDLEBACK DR,0,,,,,278.78546849842206,,,,,,,
"MULTILINESTRING ((-122.467062052687 37.751208784431, -122.467624097485 37.75166482697))",3868,10085000,PACHECO,ST,,ORIOLE WAY,11TH AVE,0,,,,,232.35064868651801,,,,,,,
"MULTILINESTRING ((-122.392741756956 37.709854283217, -122.392782651936 37.709352264948, -122.392702365508 37.709099598202))",12566,12581000,THOMAS MELLON,CIR,,THOMAS MELLON CIR,HARNEY WAY,0,,,,,278.08410545171705,,,,,,,
"MULTILINESTRING ((-122.395596767862 37.793759506057, -122.394072837683 37.792542164589))",1879,12044000,SPEAR,ST,,MARKET ST,MISSION ST,0,,,,,624.85308153478911,,,,,,,
"MULTILINESTRING ((-122.407576985025 37.795915238803, -122.407810520679 37.795885909209))",8619,7377000,JACKSON,ST,,DUNCOMBE ALY,PONTIAC ST,0,,,,,68.323006298983387,,,,,,,
"MULTILINESTRING ((-122.444333612026 37.733092626264, -122.444333335638 37.733816012175))",9833,4730000,DETROIT,ST,,MANGELS AVE,MELROSE AVE,0,,,,,263.41877226892399,,,,,,,
"MULTILINESTRING ((-122.409952708599 37.716284139637, -122.410371861118 37.716398323849))",13531,3647000,CAMPBELL,AVE,,ALBERTA ST,CAMPBELL AVE,0,,,,,128.18044651457203,,,,,,,
"MULTILINESTRING ((-122.417783607946 37.740568510404, -122.417668826156 37.740444612771, -122.417757303073 37.739262232803, -122.417792291751 37.739188607545))",12467,2920000,BENNINGTON,ST,,EUGENIA AVE,CORTLAND AVE,0,,,,,515.98767531626402,,,,,,,
"MULTILINESTRING ((-122.387141728659 37.745075384599, -122.387239052673 37.744918535689, -122.387258122482 37.744823851104, -122.387404737253 37.744403271559, -122.387385814628 37.744264351132))",15102,199201,03RD,ST,,BURKE AVE,CUSTER AVE,30,,,,,308.38562856488102,,,,,,,
"MULTILINESTRING ((-122.506100070482 37.747324724178, -122.505971391323 37.745461593992))",3858,2052000,47TH,AVE,,QUINTARA ST,RIVERA ST,0,,,,,679.47436981696308,,,,,,,
"MULTILINESTRING ((-122.408452777626 37.746927980627, -122.408219231365 37.746588515567))",7387,5780000,FRANCONIA,ST,,PERALTA AVE,FRANCONIA ST,0,,,,,140.858760031184,,,,,,,
"MULTILINESTRING ((-122.403274178904 37.749535352827, -122.403680823412 37.749463057114, -122.405089003853 37.749156724696, -122.405165884709 37.749145098227))",6988,2479202,CESAR CHAVEZ,ST,,HWY 101 N ON RAMP,HWY 101 S OFF RAMP,0,,,,,565.28990297417101,,,,,,,
"MULTILINESTRING ((-122.468220825929 37.729226220218, -122.468224739153 37.729308188489, -122.468446795823 37.729541118221, -122.468509796312 37.729586106131, -122.46862420081 37.72960349836))",15765,9842201,OCEAN,AVE,,PALOMA AVE,SANTA ANA AVE,25,,,,,194.45312451825302,,,,,,,
"MULTILINESTRING ((-122.431369839734 37.769325854592, -122.431583596846 37.769312104433))",6260,4988000,DUBOCE,AVE,,SANCHEZ ST,STEINER ST,0,,,,,61.992453432424696,,,,,,,
"MULTILINESTRING ((-122.46438616201 37.711717191518, -122.464389183027 37.711997656013))",16562,6852000,HEAD,ST,,START: 250-299 BLOCK,END: 250-299 BLOCK,0,,,,,102.133651306758,,,,,,,
"MULTILINESTRING ((-122.484339165658 37.774441602381, -122.484207425462 37.772574001651))",2802,1379000,25TH,AVE,,CABRILLO ST,FULTON ST,25,,,,,681.15102573128706,,,,,,,
"MULTILINESTRING ((-122.406595328803 37.803636952817, -122.406763433428 37.804460200328))",4379,7773000,KEARNY,ST,,LOMBARD ST,CHESTNUT ST,0,,,,,303.69585815289003,,,,,,,
"MULTILINESTRING ((-122.462583265755 37.711375237211, -122.463043242603 37.711427477596))",12198,11284000,SAGAMORE,ST,,ORIZABA AVE,ALEMANY BLVD,35,,,,,134.42017723210202,,,,,,,
"MULTILINESTRING ((-122.404081705549 37.796068984326, -122.404597444271 37.796004570469))",5534,6172000,GIBB,ST,,COLUMBUS AVE,END: 1-99 BLOCK,0,,,,,150.86355434580901,,,,,,,
"MULTILINESTRING ((-122.464055225484 37.762273788956, -122.465128074011 37.762226733281))",11596,7642000,JUDAH,ST,,07TH AVE,08TH AVE,0,,,,,310.62651722631904,,,,,,,
"MULTILINESTRING ((-122.414066979936 37.782799391652, -122.414254788848 37.783728728632))",13999,8240000,LEAVENWORTH,ST,,TURK ST,EDDY ST,25,,,TAMAMABDALLAH,07/28/2016 11:50:03 PM +0000,342.74338817171201,,,,,,,
"MULTILINESTRING ((-122.407554692771 37.723945924843, -122.407288665394 37.723306372022))",11944,7014000,HOLYOKE,ST,,WOOLSEY ST,KAREN CT,0,,,,,245.27322061530299,,,,,,,
"MULTILINESTRING ((-122.406665568118 37.796029696777, -122.407096896167 37.795975530699))",16228,7373000,JACKSON,ST,,GRANT AVE,SAINT LOUIS ALY,0,,,,,126.18858908301,,,,,,,
"MULTILINESTRING ((-122.456529231114 37.72396875461, -122.45648545476 37.724205839814, -122.456453178991 37.72441992902, -122.45644290179 37.724715347165, -122.456457468532 37.724925791183, -122.456499517447 37.725151544687, -122.456562662051 37.725424245401))",11735,10523000,PLYMOUTH,AVE,,OCEAN AVE,PLYMOUTH AVE,25,,,,,534.20941571812102,,,,,,,
"MULTILINESTRING ((-122.472794880225 37.730670699966, -122.473338134799 37.730663358944))",16299,11170000,ROSSMOOR,DR,,ELMHURST DR,ROSSMOOR DR,0,,,,,157.140865931804,,,,,,,
"MULTILINESTRING ((-122.406226576091 37.769467490599, -122.406410962999 37.769375931464, -122.406737905795 37.769311881179, -122.406895612327 37.769303502399))",11539,4844000,DIVISION,ST,,09TH ST,UTAH ST,0,,,,,205.90220081903001,,,,,,,
"MULTILINESTRING ((-122.422632905763 37.772507761304, -122.422555566584 37.772319501621, -122.422497833301 37.77171681468, -122.422539558745 37.771600046705))",6945,13052201,VALENCIA,ST,,MARKET ST,MCCOPPIN ST,0,,,,,336.40757175093904,,,,,,,
"MULTILINESTRING ((-122.475931645878 37.716792714347, -122.476144053475 37.71680013736, -122.477354300177 37.717536539992, -122.477322456514 37.717634750027))",16521,5719101,FONT,BLVD,,GONZALEZ DR,JUAN BAUTISTA CIR,0,,,,,539.41954853463494,,,,,,,
"MULTILINESTRING ((-122.398955311854 37.737593614166, -122.399517325567 37.736969342566))",9116,10935000,RANKIN,ST,,QUESADA AVE,REVERE AVE,0,,,,,279.45159582523598,,,,,,,
"MULTILINESTRING ((-122.487721385483 37.761233506441, -122.487592724353 37.759364358278))",3103,1616000,29TH,AVE,,JUDAH ST,KIRKHAM ST,0,,,,,681.6633564365211,,,,,,,
"MULTILINESTRING ((-122.428627259737 37.7713882731, -122.430274021594 37.771178627121))",3516,13361000,WALLER,ST,,WEBSTER ST,FILLMORE ST,0,,,,,482.09328117959302,,,,,,,
"MULTILINESTRING ((-122.384969392915 37.733708039339, -122.384835462706 37.733722440261, -122.384704909021 37.733764689896))",10278,2750000,BASS,CT,,START: 1-99 BLOCK,WHITNEY YOUNG CIR,0,,,,,79.857569360146698,,,,,,,
"MULTILINESTRING ((-122.453929646734 37.745704861077, -122.453842394826 37.74572895388, -122.453658374437 37.745700499231, -122.453389240769 37.745692732862, -122.452240762857 37.745696947918, -122.451829282329 37.745676155391, -122.451704705664 37.74561137356, -122.451637203551 37.745539176802))",7458,13717101,WOODSIDE,AVE,,ULLOA ST,PORTOLA DR,35,,,,,685.91716238445304,,,,,,,
"MULTILINESTRING ((-122.463794747605 37.758543120863, -122.464864712244 37.758496299444))",3153,8186000,LAWTON,ST,,07TH AVE,08TH AVE,0,,,,,309.804880628185,,,,,,,
"MULTILINESTRING ((-122.428268216607 37.80700230472, -122.428819081424 37.806899943306))",1222,19128000,FUNSTON,RD,,POPE RD,END: 0-0 BLOCK,0,,,,,163.46229154483899,,,,,,,
"MULTILINESTRING ((-122.447510464155 37.772795395842, -122.449156392409 37.772583857994))",3760,5457000,FELL,ST,,ASHBURY ST,CLAYTON ST,30,,,,,481.95608126571699,,,,,,,
"MULTILINESTRING ((-122.416694159609 37.742935983885, -122.417434737497 37.743227664873))",10459,5251000,ESMERALDA,AVE,,START: 200-299 BLOCK,ELSIE ST,0,,,,,239.04493098675601,,,,,,,
"MULTILINESTRING ((-122.406991794413 37.739571214085, -122.406924193597 37.739434638519, -122.40693662777 37.739299819328, -122.406940553073 37.739239335498))",10462,2801101,BAY SHORE,BLVD,,CORTLAND AVE,WATERLOO ST,35,,,,,124.717586721457,,,,,,,
"MULTILINESTRING ((-122.459871625386 37.725415106146, -122.45981304974 37.725543887818, -122.459707764007 37.725585003976, -122.459637465001 37.725583705143, -122.459526141124 37.725526912826))",9771,5429000,FAXON,AVE,,FAXON AVE,SOUTHWOOD DR,0,,,,,142.40284117075203,,,,,,,
"MULTILINESTRING ((-122.433995566681 37.725766729356, -122.434438908336 37.725180415235))",14006,9162000,MISSION,ST,,SANTA ROSA AVE,HARRINGTON ST,25,,,TAMAMABDALLAH,05/10/2016 11:12:34 PM +0000,249.05247975358,,,,,,,
"MULTILINESTRING ((-122.45213965807 37.788442437216, -122.453782186348 37.788233249038))",14495,4123000,CLAY,ST,,LOCUST ST,SPRUCE ST,0,,,,,480.750896509764,,,,,,,
"MULTILINESTRING ((-122.505148305368 37.779804807005, -122.505102799418 37.779164804657))",4312,1971000,44TH,AVE,,POINT LOBOS AVE,GEARY BLVD,0,,,,,233.42761305206901,,,,,,,
"MULTILINESTRING ((-122.395451209098 37.76136353167, -122.396418345542 37.761305336415))",1689,946000,19TH,ST,,TEXAS ST,MISSOURI ST,0,,,,,280.39833274304499,,,,,,,
"MULTILINESTRING ((-122.438200438742 37.805163790568, -122.43823648217 37.805345382182, -122.437446145866 37.806267340451))",7509,10969000,RETIRO,WAY,,CASA WAY,FILLMORE ST,0,,,,,472.96968274582002,,,,,,,
"MULTILINESTRING ((-122.424700257617 37.785339567053, -122.42487163975 37.786201372766))",14220,6331000,GOUGH,ST,,GEARY BLVD,POST ST,25,,,,,317.71120022400203,,,,,,,
"MULTILINESTRING ((-122.465057594679 37.731761127754, -122.465179653446 37.731629285693, -122.46524128688 37.731519780832, -122.465246219121 37.731275626933, -122.465258578072 37.73102532298, -122.465316678045 37.730638659302, -122.465433282636 37.730173192263))",9786,11329000,SAN ALESO,AVE,,DARIEN WAY,UPLAND DR,0,,,,,598.02860959944201,,,,,,,
"MULTILINESTRING ((-122.400071474643 37.793698535045, -122.400161992996 37.794139182618))",6808,2755000,BATTERY,ST,,HALLECK ST,SACRAMENTO ST,0,,,,,162.580122062832,,,,,,,
"MULTILINESTRING ((-122.464696706766 37.746818174846, -122.46504046766 37.746867741171, -122.465408969413 37.746855560331, -122.465576608064 37.746816965412))",6601,11495000,SAN MARCOS,AVE,,SANTA RITA AVE,UNNAMED #031,0,,,,,258.14054988649605,,,,,,,
"MULTILINESTRING ((-122.478539308823 37.791517975171, -122.478592004824 37.79121811638))",2742,19694000,SIBERT,LN,,PERSHING DR,END: 0-0 BLOCK,0,,,,,110.250480495913,,,,,,,
"MULTILINESTRING ((-122.389290858191 37.716966236204, -122.390218229968 37.717502856372))",12359,7247000,INGERSON,AVE,,GRIFFITH ST,CORONADO ST,0,,,,,331.88486723114806,,,,,,,
"MULTILINESTRING ((-122.424246490033 37.742241242811, -122.424148880508 37.742132468924, -122.424042677027 37.741010044029, -122.423955261371 37.740893788806))",11454,4890101,DOLORES,ST,,30TH ST,SAN JOSE AVE,25,,,,,507.82507479591106,,,,,,,
"MULTILINESTRING ((-122.402210313066 37.791951737012, -122.402584545086 37.791903886238))",12633,10459000,PINE,ST,,PETRARCH PL,MONTGOMERY ST,30,,,,,109.539627223701,,,,,,,
"MULTILINESTRING ((-122.413782062025 37.77452120168, -122.413956977782 37.774383065505))",8584,7054000,HOWARD,ST,,DORE ST,GRACE ST,25,,,,,71.319676169735899,,,,,,,
"MULTILINESTRING ((-122.410623943324 37.775433297547, -122.412183325562 37.774204600145))",5474,4203000,CLEMENTINA,ST,,08TH ST,09TH ST,0,,,,,635.09976365941293,,,,,,,
"MULTILINESTRING ((-122.401064508386 37.798585001681, -122.401253457061 37.799536395567))",3566,2763000,BATTERY,ST,,BROADWAY,VALLEJO ST,25,,,,,350.72664287051003,,,,,,,
"MULTILINESTRING ((-122.386431680286 37.729547654113, -122.386997406546 37.728923599233))",13805,7475000,JENNINGS,ST,,REVERE AVE,SHAFTER AVE,0,,,,,280.02346358978406,,,,,,,
"MULTILINESTRING ((-122.450257238755 37.804732363808, -122.450000066395 37.804764574959, -122.448569512253 37.804965712131))",2444,19523000,MASON,ST,,UNNAMED #064,LUNDEEN ST,0,,,,,494.990488596803,,,,,,,
"MULTILINESTRING ((-122.480188571798 37.776502548639, -122.48005323978 37.774637288212))",2806,1077000,21ST,AVE,,BALBOA ST,CABRILLO ST,0,,,,,680.35920129002102,,,,,,,
"MULTILINESTRING ((-122.392652595002 37.752549627788, -122.392591133134 37.751947143153))",1356,10338000,PENNSYLVANIA,AVE,,25TH ST,I-280 S ON RAMP,0,,,,,220.11222403512099,,,,,,,
"MULTILINESTRING ((-122.509907977841 37.771400969376, -122.511066984568 37.771347436913))",14017,5956000,FULTON,ST,,LA PLAYA ST,GREAT HWY,30,,,TAMAMABDALLAH,05/11/2016 06:39:13 PM +0000,335.58692396747,,,,,,,
"MULTILINESTRING ((-122.416885693756 37.758769172271, -122.417977917981 37.758703215719))",13896,1054000,20TH,ST,,SOUTH VAN NESS AVE,CAPP ST,0,,,,,316.68199419427202,,,,,,,
"MULTILINESTRING ((-122.386787596129 37.71178109552, -122.386997616096 37.711772218988, -122.387114971999 37.711811898979, -122.387265098863 37.711920321182, -122.38752302162 37.712150157057, -122.387612631357 37.712242616724, -122.387697089769 37.712361325983, -122.387768253165 37.712491023567, -122.387812085112 37.712613462013, -122.387838120686 37.712722332404, -122.387966761929 37.713359066798, -122.388032050473 37.71356274312, -122.388129485868 37.713810543115, -122.388235792839 37.714025875016, -122.388347291428 37.714216496904, -122.388464213236 37.714391638395, -122.38863863144 37.714627997972, -122.388772404095 37.714668661488))",12343,7425201,JAMESTOWN,AVE,,GIANTS DR,IGNACIO AVE,0,,,,,1278.99609403777,,,,,,,
"MULTILINESTRING ((-122.500041800812 37.76617439489, -122.499636015323 37.766057943639))",2869,12997000,GGP ACCESS ROAD,,,CHAIN OF LAKES DR,END: 0-0 BLOCK,0,,,,,124.73344798063501,,,,,,,
"MULTILINESTRING ((-122.417062057258 37.749111447939, -122.41703046004 37.748779243696, -122.417372868864 37.748538285762, -122.417925125746 37.748328494336, -122.418004858248 37.748328074538, -122.418234382626 37.748170631378))",15159,3683000,CAPP,ST,,26TH ST,MISSION ST,0,,,,,541.38203590429305,,,,,,,
"MULTILINESTRING ((-122.408789149071 37.742384142699, -122.408170160173 37.742360668988))",8807,8878000,MAYFLOWER,ST,,PERALTA AVE,FRANCONIA ST,0,,,,,179.19755840491402,,,,,,,
"MULTILINESTRING ((-122.402650073926 37.726562699938, -122.403115514561 37.726438396923))",13830,13503000,WAYLAND,ST,,WAYLAND ST,SAN BRUNO AVE,0,,,,,142.026719081446,,,,,,,
"MULTILINESTRING ((-122.438088953302 37.742824448872, -122.438275770709 37.742696224574, -122.438528309797 37.742596339872, -122.438816949109 37.742556120713))",14355,6252000,GOLD MINE,DR,,TOPAZ WAY,ORA WAY,0,,,,,237.72875611262901,,,,,,,
"MULTILINESTRING ((-122.469850842954 37.717893093835, -122.470746182901 37.717887106863))",10994,11815000,SHIELDS,ST,,BYXBEE ST,MONTICELLO ST,0,,,,,259.00064552245004,,,,,,,
"MULTILINESTRING ((-122.445833730188 37.782492975324, -122.445952046479 37.782575852147, -122.447314733279 37.782396584545))",10338,6046201,GEARY,BLVD,,PRESIDIO AVE,MASONIC AVE,0,,,,,444.818413271309,,,,,,,
"MULTILINESTRING ((-122.452881000621 37.719297795149, -122.452588587776 37.720046940958))",11995,6167000,GETZ,ST,,START: 1-99 BLOCK,MOUNT VERNON AVE,0,,,,,285.61044177488401,,,,,,,
"MULTILINESTRING ((-122.420034826127 37.798776676433, -122.420646419145 37.798697996038))",5991,11109000,ROCKLAND,ST,,EASTMAN ST,LARKIN ST,0,,,,,179.02824654146499,,,,,,,
"MULTILINESTRING ((-122.494557718736 37.759056835355, -122.495095610329 37.759033068877))",8333,7874000,KIRKHAM,ST,,PINO ALY,36TH AVE,0,,,,,155.748340858391,,,,,,,
"MULTILINESTRING ((-122.383561616114 37.759822334188, -122.383613299111 37.75984592612, -122.383801179907 37.760085070898, -122.383929697734 37.760285467854, -122.384044330506 37.760398754795, -122.384200781886 37.76051666528, -122.384512601542 37.760644001347, -122.384768199258 37.760722738339))",2087,12915000,20TH,ST,,START: 0-0 BLOCK,20TH ST,0,,,,,497.67447088845506,,,,,,,
"MULTILINESTRING ((-122.463333749223 37.794736762485, -122.463403689958 37.794648281694, -122.463604259725 37.794559637198, -122.463836205988 37.794489858276, -122.463981300774 37.794471931973))",2350,19077000,DEEMS,RD,,WASHINGTON BLVD,PIPER LOOP,0,,,,,218.48842449613701,,,,,,,
"MULTILINESTRING ((-122.419652205287 37.785437980925, -122.421229675257 37.785237573409))",10181,9472000,ALICE B TOKLAS,PL,,POLK ST,VAN NESS AVE,0,,,,,461.69871093192705,,,,,,,
"MULTILINESTRING ((-122.402038633603 37.786253098165, -122.404280086215 37.784483690704))",7085,9095000,MISSION,ST,,03RD ST,04TH ST,0,,,,,913.66859549758101,,,,,,,
"MULTILINESTRING ((-122.408845891321 37.778420481014, -122.409400220047 37.777982032387))",8279,7046000,HOWARD,ST,,MOSS ST,07TH ST,25,,,,,226.189233893634,,,,,,,
"MULTILINESTRING ((-122.44405015785 37.764602671837, -122.44408483103 37.764508576484, -122.444142117953 37.76443183022, -122.444216416458 37.764375714032, -122.444314628952 37.764311709251, -122.444424925616 37.763991870315))",7564,13016000,UPPER,TER,,ASHBURY TER,CLIFFORD TER,0,,,,,255.32018347119003,,,,,,,
"MULTILINESTRING ((-122.446349372312 37.745464553375, -122.446192494556 37.745319385355, -122.446039239845 37.745138691398, -122.445879078661 37.744810252674, -122.445797845202 37.744657409636, -122.445746504385 37.744422175504, -122.445692051942 37.74414371845, -122.445602971857 37.743910464966, -122.445424013736 37.743771251322, -122.445227591117 37.743692822841, -122.444670780757 37.743532621324, -122.44437317677 37.743374190322, -122.444161676113 37.743302058869, -122.443914138554 37.743309168448, -122.443755801214 37.74337530163, -122.442906513053 37.743848265219, -122.442754555345 37.743999808683, -122.442656836153 37.74419803511, -122.442642603203 37.744353085363))",15922,12757000,TURQUOISE,WAY,,QUARTZ WAY,AMBER DR,0,,,,,1721.38779287132,,,,,,,
"MULTILINESTRING ((-122.41937248074 37.761840798584, -122.420141374886 37.76179408295))",13578,878000,18TH,ST,,MISSION ST,SAN CARLOS ST,0,,,,,222.93360512568,,,,,,,
"MULTILINESTRING ((-122.434559326905 37.756097897096, -122.434684709523 37.756113634323, -122.435654880816 37.756045848329))",15727,1124000,21ST,ST,,CASTRO ST,COLLINGWOOD ST,0,,,,,318.27802869109001,,,,,,,
"MULTILINESTRING ((-122.39993822316 37.721522213534, -122.399843759191 37.721432020929, -122.399613505663 37.720925305079))",10965,2816000,BAY SHORE,BLVD,,HWY 101 S ON RAMP,LANE ST,35,,,,,238.893910289937,,,,,,,
"MULTILINESTRING ((-122.413988226331 37.807487460498, -122.415629654326 37.807280818245))",7964,2841000,BEACH,ST,,MASON ST,TAYLOR ST,0,,,,,480.17064088722901,,,,,,,
"MULTILINESTRING ((-122.404066346924 37.79917716509, -122.404253632994 37.80010923698))",3349,9312000,MONTGOMERY,ST,,VALLEJO ST,GREEN ST,0,,,,,343.70202430123101,,,,,,,
"MULTILINESTRING ((-122.46567159874 37.72326975208, -122.464647440703 37.723147616378))",15121,13032000,URBANO,DR,,DE SOTO ST,VICTORIA ST,0,,,,,299.55305334972599,,,,,,,
"MULTILINESTRING ((-122.440058438286 37.794602704823, -122.440247359087 37.795537811604))",9430,11710000,SCOTT,ST,,VALLEJO ST,GREEN ST,0,,,,,344.86809941145901,,,,,,,
"MULTILINESTRING ((-122.428063400515 37.758093698928, -122.430281730662 37.757959503771))",11794,1062000,20TH,ST,,CHURCH ST,SANCHEZ ST,0,,,,,643.20031884894911,,,,,,,
"MULTILINESTRING ((-122.449180599339 37.716176797181, -122.449557361861 37.716477282446))",12502,5729000,FOOTE,AVE,,START: 400-499 BLOCK,END: 400-499 BLOCK,0,,,,,154.43763573047201,,,,,,,
"MULTILINESTRING ((-122.418924938482 37.743830359804, -122.418567050817 37.743685618962))",7618,5249000,ESMERALDA,AVE,,LUNDY'S LN,PROSPECT AVE,0,,,,,116.137652028489,,,,,,,
