the_geom,OBJECTID,CNN,STREET,ST_TYPE,STREET_GC,FROM_ST,TO_ST,SPEEDLIMIT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,SHAPE.LEN,SCHOOLZONE,SCHOOLZONE_LIMIT,Status,MTAB_MOTION,MTAB_DATE,MTAB_RESO_TEXT,WorkOrder
"MULTILINESTRING ((-122.471776576626 37.73385745549, -122.47183159784 37.732837034032, -122.471900212395 37.732233159006, -122.47192930195 37.731236178823, -122.471810653891 37.731037291294))",14962,7706202,JUNIPERO SERRA,BLVD,,WOODACRE DR,OCEAN AVE,35,,,,,1036.0035456848,,,,,,,
"MULTILINESTRING ((-122.411913033222 37.752633533125, -122.411759436469 37.751038837758))",3978,6757000,HARRISON,ST,,24TH ST,25TH ST,0,,,,,582.40099710504694,,,,,,,
"MULTILINESTRING ((-122.478998775971 37.720889365267, -122.479065059267 37.720850501993, -122.480608269802 37.720905768681, -122.48086634639 37.720744377127, -122.481071250028 37.720707663001))",8734,6998101,HOLLOWAY,AVE,,ARELLANO AVE,FONT BLVD,25,,,,,626.43061782696407,,,,,,,
"MULTILINESTRING ((-122.384954580922 37.724926926106, -122.386813311159 37.725990609351))",8867,13138000,VAN DYKE,AVE,,HAWES ST,INGALLS ST,0,,,,,662.61412485166704,,,,,,,
"MULTILINESTRING ((-122.419122677096 37.799506779454, -122.419246161943 37.800138884112))",4323,7142000,HYDE,ST,,HASTINGS TER,FILBERT ST,0,,,,,232.93061293281801,,,,,,,
"MULTILINESTRING ((-122.443195772316 37.784831629081, -122.444844564506 37.784621958483))",14225,12345000,SUTTER,ST,,BAKER ST,LYON ST,0,,,,,482.58898415151401,,,,,,,
"MULTILINESTRING ((-122.412063521324 37.761647990374, -122.412792986284 37.761603438049))",6424,871000,18TH,ST,,ALABAMA ST,HARRISON ST,0,,,,,211.50850899684099,,,,,,,
"MULTILINESTRING ((-122.408954243436 37.786300862789, -122.40934212043 37.786252118619))",11789,9724000,O'FARRELL,ST,,CYRIL MAGNIN ST,ELWOOD ST,0,,,,,113.49310270608601,,,,,,,
"MULTILINESTRING ((-122.4734558298 37.756849679077, -122.473589413887 37.756543497007, -122.473696534141 37.756241746512))",3253,683000,16TH,AVE,,LOMITA AVE,MORAGA ST,0,,,,,232.15831889761299,,,,,,,
"MULTILINESTRING ((-122.393610376905 37.788001256261, -122.392066175863 37.786770430323))",1868,5864000,FREMONT,ST,,FOLSOM ST,HARRISON ST,0,,,,,632.48958072063101,,,,,,,
"MULTILINESTRING ((-122.401143233371 37.721673624587, -122.401087336239 37.721539340371))",10835,11384001,SAN BRUNO,AVE,,HWY 101 S OFF RAMP,MANSELL ST,0,,,,,51.502785881959696,,,,,,,
"MULTILINESTRING ((-122.437506802967 37.752701943589, -122.438640976306 37.752633650214))",4585,1285000,23RD,ST,,EUREKA ST,DOUGLASS ST,0,,,,,328.86607670665506,,,,,,,
"MULTILINESTRING ((-122.453358385943 37.756702921299, -122.453546809094 37.756824405817, -122.453630604623 37.756953572184, -122.45378267792 37.757472793656))",5424,10208000,PALO ALTO,AVE,,DELLBROOK AVE,CLARENDON AVE,0,,,,,317.20243076298203,,,,,,,
"MULTILINESTRING ((-122.389632746578 37.722856383991, -122.391505119014 37.723919046506))",12538,3736000,CARROLL,AVE,,INGALLS ST,JENNINGS ST,0,,,,,665.61556247271801,,,,,,,
"MULTILINESTRING ((-122.386359869371 37.758062928577, -122.387325900798 37.758004899192))",1328,1157000,22ND,ST,,MICHIGAN ST,ILLINOIS ST,0,,,,,280.08762743871199,,,,,,,
"MULTILINESTRING ((-122.489489307216 37.786256517636, -122.489404727408 37.785092953035))",2366,1606000,29TH,AVE,,MCLAREN AVE,LAKE ST,0,,,,,424.41679422835506,,,,,,,
"MULTILINESTRING ((-122.407298002373 37.735206216764, -122.407508675718 37.735499495353, -122.407612714448 37.735627533638, -122.407653763619 37.73574145724, -122.407642205387 37.73582163886, -122.407622204839 37.73589114823, -122.407569265175 37.735950380162, -122.407447634923 37.736026691186))",9885,11399000,SAN BRUNO AV OFF,RAMP,,SAN BRUNO AVE,ALEMANY BLVD,99,,,,,348.22367181625106,,,,,,,
"MULTILINESTRING ((-122.448253946018 37.804482624849, -122.448292368433 37.804729169469))",1939,8585000,LYON,ST,,PALACE OF FINE ARTS,HWY 101 NORTHBOUND,0,,,,,90.463295602040304,,,,,,,
"MULTILINESTRING ((-122.449610166932 37.800830921994, -122.44952774491 37.800856384447, -122.449311137213 37.801283557098))",2421,19720000,STERNBERG,RD,,EDIE RD,GORGAS AVE,0,,,,,193.23080844800702,,,,,,,
"MULTILINESTRING ((-122.506315236044 37.766683002653, -122.506577513847 37.766888027191, -122.506829875519 37.767157732153, -122.507135253677 37.767740307562, -122.507732178553 37.768598446535, -122.507975897828 37.768892186266, -122.508289897382 37.769238859894))",5607,7547000,JOHN F KENNEDY,DR,,MCCLAINS BEND,47TH AVE,25,,,,,1099.06025810915,,,,,,,
"MULTILINESTRING ((-122.420129291042 37.787761598059, -122.421771322006 37.787553084823))",9989,12330000,SUTTER,ST,,POLK ST,VAN NESS AVE,0,,,,,480.57443221801401,,,,,,,
"MULTILINESTRING ((-122.480088891623 37.75969520991, -122.481160746201 37.759647980595))",8321,7860000,KIRKHAM,ST,,22ND AVE,23RD AVE,0,,,,,310.35387049706605,,,,,,,
"MULTILINESTRING ((-122.454603762589 37.802038242431, -122.454575888478 37.802160692125))",2713,19156000,HALLECK,ST,,WEST HALLECK ST,FRENCH CT,0,,,,,45.311712723332498,,,,,,,
"MULTILINESTRING ((-122.434883590838 37.724592644499, -122.435325781243 37.72400984775))",14412,9165000,MISSION,ST,,NORTON ST,SAN JUAN AVE,25,,,TAMAMABDALLAH,05/10/2016 11:12:35 PM +0000,247.78430187894099,,,,,,,
"MULTILINESTRING ((-122.481367012169 37.720403906862, -122.481437180062 37.719061372817))",10023,12377000,TAPIA,DR,,PINTO AVE,SERRANO DR,0,,,,,489.29970351363602,,,,,,,
"MULTILINESTRING ((-122.453606073812 37.787349053798, -122.455249572922 37.787141935314))",1974,11269000,SACRAMENTO,ST,,SPRUCE ST,MAPLE ST,0,,,,,480.91604224828598,,,,,,,
"MULTILINESTRING ((-122.459211651811 37.720029065253, -122.460231389885 37.720025995405))",12482,6362000,GRAFTON,AVE,,CAPITOL AVE,FAXON AVE,0,,,,,294.96926169650698,,,,,,,
"MULTILINESTRING ((-122.469069896428 37.737974819699, -122.469074530614 37.73792965275, -122.469919871707 37.737224627941, -122.470517213998 37.73661885362, -122.470587306499 37.736593965796))",13848,13579101,WEST PORTAL,AVE,,14TH AVE,15TH AVE,0,,,,,673.39334918556006,,,,,,,
"MULTILINESTRING ((-122.389859604573 37.7836141241, -122.391321522807 37.782458913417))",1771,3072000,BRANNAN,ST,,DELANCEY ST,COLIN P KELLY JR ST,25,,,,,596.22184704309404,,,,,,,
"MULTILINESTRING ((-122.370043743945 37.735217334445, -122.36980554877 37.735231190725))",13340,7191000,INDIA,ST,,FITCH ST,BURKE AVE,0,,,,,69.070311986749203,,,,,,,
"MULTILINESTRING ((-122.458839971403 37.790788736091, -122.458828267365 37.790730013598, -122.458714177666 37.790482625141, -122.458661453237 37.790337367983, -122.458676015156 37.790148014907, -122.458780358247 37.790025937625, -122.459166794836 37.789847597403, -122.459488872567 37.789715501749))",13861,19015000,ARGUELLO,BLVD,,UNNAMED #162,WEST PACIFIC AVE,0,,,,,529.38005682867504,,,,,,,
"MULTILINESTRING ((-122.437474515422 37.806406726303, -122.437693457257 37.806442533437, -122.439747191888 37.806179887034, -122.44001254584 37.806082144726))",15845,8704201,MARINA,BLVD,,FILLMORE ST,AVILA ST,25,,,,,750.14068660575811,,,,,,,
"MULTILINESTRING ((-122.446630171573 37.717701343275, -122.447357360534 37.717987571889))",13036,9429000,MOUNT VERNON,AVE,,DELANO AVE,OTEGA AVE,0,,,,,234.75799721085301,,,,,,,
"MULTILINESTRING ((-122.400281701272 37.781874601475, -122.399846662875 37.782218325751))",8084,3008000,BONIFACIO,ST,,TANDANG SORA,MABINI ST,0,,,,,177.41388121823201,,,,,,,
"MULTILINESTRING ((-122.421533914267 37.778025704788, -122.421722522859 37.778961808729))",7685,5804000,FRANKLIN,ST,,GROVE ST,FULTON ST,0,,,,,345.21338377832598,,,,,,,
"MULTILINESTRING ((-122.462651986803 37.717871370688, -122.462652839072 37.717940971163))",15581,9992000,ORIZABA,AVE,,ORIZABA AVE,SHIELDS ST,0,,,,,25.3459315241059,,,,,,,
"MULTILINESTRING ((-122.453407509754 37.729841531938, -122.453421776604 37.730676974421))",11983,11027000,RIDGEWOOD,AVE,,FLOOD AVE,HEARST AVE,0,,,,,304.251631956572,,,,,,,
"MULTILINESTRING ((-122.432460535765 37.727642147436, -122.432821034569 37.727319982091, -122.432925005358 37.727182490105))",14444,9158000,MISSION,ST,,AVALON AVE,COTTER ST,25,,,TAMAMABDALLAH,05/10/2016 11:12:41 PM +0000,215.35753561722402,,,,,,,
"MULTILINESTRING ((-122.422679109212 37.728827263132, -122.422358203474 37.728052494542))",10074,5989000,GAMBIER,ST,,SILVER AVE,PIOCHE ST,0,,,,,297.00408114508605,,,,,,,
"MULTILINESTRING ((-122.498120138489 37.732272826793, -122.499072198548 37.731581005513))",9793,11939000,SKYLINE,BLVD,,LAKE MERCED BLVD,LAKE MERCED BLVD,45,,,,,373.20481462543506,,,,,,,
"MULTILINESTRING ((-122.453900793876 37.709683706692, -122.454559951751 37.710212189855))",9487,11868000,SICKLES,AVE,,SEARS ST,CAYUGA AVE,25,,,,,270.92168126929101,,,,,,,
"MULTILINESTRING ((-122.505678707061 37.756698011712, -122.506749762169 37.756650796907))",6635,8227000,LAWTON,ST,,46TH AVE,47TH AVE,0,,,,,310.13534258478904,,,,,,,
"MULTILINESTRING ((-122.42141757359 37.794148925955, -122.423062022263 37.793939950494))",14110,7396000,JACKSON,ST,,POLK ST,VAN NESS AVE,0,,,,,481.25057661645002,,,,,,,
"MULTILINESTRING ((-122.50564771282 37.782066035904, -122.505608820995 37.782804389953))",5107,19775000,FORT MILEY #6,,,FORT MILEY #7,END: 0-0 BLOCK,0,,,,,269.10653213528406,,,,,,,
"MULTILINESTRING ((-122.482365323684 37.761469359213, -122.483436325204 37.761422217562))",11602,7659000,JUDAH,ST,,24TH AVE,25TH AVE,25,,,,,310.098479379769,,,,,,,
"MULTILINESTRING ((-122.4219544627 37.773040995091, -122.421981357658 37.772949920035, -122.422523871487 37.772523824337, -122.422632905763 37.772507761304))",7669,8758101,MARKET,ST,,GOUGH ST,VALENCIA ST,25,,,,,286.72338836225197,,,,,,,
"MULTILINESTRING ((-122.480719246291 37.792321194383, -122.480731629227 37.792238713219, -122.480875592088 37.79209110184))",2726,19707000,SOUTH VAN HORN,LN,,PERSHING DR,END: 0-0 BLOCK,0,,,,,98.219174660956099,,,,,,,
"MULTILINESTRING ((-122.442010980724 37.770642577961, -122.442201099141 37.771575979988))",3717,8554000,LYON,ST,,HAIGHT ST,PAGE ST,0,,,,,344.311663462019,,,,,,,
"MULTILINESTRING ((-122.475679087056 37.758018713759, -122.475549947187 37.756160004421))",3170,838000,18TH,AVE,,LAWTON ST,MORAGA ST,0,,,,,677.87504674742502,,,,,,,
"MULTILINESTRING ((-122.393377941349 37.760206857383, -122.393135838381 37.757655729827))",1714,10335000,PENNSYLVANIA,AVE,,20TH ST,22ND ST,0,,,,,931.62263761108102,,,,,,,
"MULTILINESTRING ((-122.406489255429 37.774420202833, -122.406813733379 37.774163141993))",8076,3052000,BOYD,ST,,START: 1-52 BLOCK,CHESLEY ST,0,,,,,132.510356033801,,,,,,,
"MULTILINESTRING ((-122.446226238338 37.799822991057, -122.446361584485 37.800491431964))",14493,2637000,BAKER,ST,,RICHARDSON AVE,FRANCISCO ST,0,,,,,246.53504686828504,,,,,,,
"MULTILINESTRING ((-122.440471802405 37.749305697776, -122.44042954589 37.748875827477))",4887,6942000,HOFFMAN,AVE,,25TH ST,END: 500-599 BLOCK,0,,,,,157.01248394932202,,,,,,,
"MULTILINESTRING ((-122.433960397053 37.734264554933, -122.434063139952 37.733894686188))",13477,4771000,DIAMOND,ST,,WILDER ST,KERN ST,0,,,,,137.92524209122203,,,,,,,
"MULTILINESTRING ((-122.480873325648 37.785938903627, -122.480738532198 37.784081548235))",8555,1072000,21ST,AVE,,LAKE ST,CALIFORNIA ST,0,,,,,677.47720061159703,,,,,,,
"MULTILINESTRING ((-122.424115899132 37.764788395431, -122.424150596522 37.764632346078, -122.424032059467 37.763297226031, -122.423972456923 37.76317276784))",11545,6578201,GUERRERO,ST,,16TH ST,17TH ST,25,,,,,593.57841023025298,,,,,,,
"MULTILINESTRING ((-122.451551303269 37.711733246077, -122.451967988744 37.712060628025))",11384,5418000,FARRAGUT,AVE,,MONETA WAY,ALEMANY BLVD,0,,,,,169.53666246325002,,,,,,,
"MULTILINESTRING ((-122.471996615998 37.721665538955, -122.472020009985 37.721236588289))",14234,12974000,JUNIPERO SERRA,BLVD,,HOLLOWAY AVE,END: 0-0 BLOCK,0,,,,,156.34725946207402,,,,,,,
"MULTILINESTRING ((-122.471107490699 37.739520086841, -122.47223407458 37.739470568251))",14570,13241000,VICENTE,ST,,15TH AVE,16TH AVE,0,,,,,326.28648203722202,,,,,,,
"MULTILINESTRING ((-122.423511189593 37.787810154078, -122.425154180571 37.787601470483))",8017,5485000,FERN,ST,,FRANKLIN ST,GOUGH ST,0,,,,,480.85787380255698,,,,,,,
"MULTILINESTRING ((-122.406588055395 37.732145765422, -122.406099182119 37.730980559928))",16134,6195000,GIRARD,ST,,SILVER AVE,SILLIMAN ST,0,,,,,447.24292858653001,,,,,,,
"MULTILINESTRING ((-122.411011298236 37.736933978862, -122.410390148174 37.736898487318))",8887,12640000,TOMPKINS,AVE,,PUTNAM ST,BRONTE ST,0,,,,,180.09603088678801,,,,,,,
"MULTILINESTRING ((-122.456058645276 37.71232457601, -122.459028333337 37.712300672666))",16423,11277000,SADOWA,ST,,PLYMOUTH AVE,CAPITOL AVE,0,,,,,859.13846340442308,,,,,,,
"MULTILINESTRING ((-122.41873148477 37.805936466112, -122.418795073973 37.806246195477))",4355,8273000,LEAVENWORTH,ST,,NORTH POINT ST,COLUMBUS AVE,0,,,,,114.274964871555,,,,,,,
"MULTILINESTRING ((-122.503693865399 37.743695185097, -122.504765806496 37.743647866242))",13812,11637000,SANTIAGO,ST,,45TH AVE,46TH AVE,0,,,,,310.44734484409702,,,,,,,
"MULTILINESTRING ((-122.492819201342 37.757263531727, -122.493890666554 37.757216236322))",3141,8214000,LAWTON,ST,,34TH AVE,35TH AVE,0,,,,,310.25296322911203,,,,,,,
"MULTILINESTRING ((-122.42545008519 37.797413296497, -122.425638723369 37.798348482039))",13799,5834000,FRANKLIN,ST,,GREEN ST,UNION ST,0,,,,,344.88335228252799,,,,,,,
"MULTILINESTRING ((-122.425662786355 37.722440320501, -122.426843985178 37.720872862403))",9586,9447000,MUNICH,ST,,EXCELSIOR AVE,BRAZIL AVE,0,,,,,665.22794649190496,,,,,,,
"MULTILINESTRING ((-122.440997917666 37.761082926064, -122.441083762045 37.761123430742, -122.442475332101 37.761115447151, -122.442798823651 37.761048062057))",4129,8773201,MARKET,ST,,HATTIE ST,MERRITT ST,30,,,,,527.86656922132602,,,,,,,
"MULTILINESTRING ((-122.42268265768 37.743947182431, -122.422650190382 37.743838950381, -122.423190375113 37.742403344568, -122.423298773714 37.742299473754))",15925,11437101,SAN JOSE,AVE,,29TH ST,30TH ST,30,,,,,635.25022160496906,,,,,,,
"MULTILINESTRING ((-122.405054613736 37.787770442918, -122.40514460745 37.788235242436))",6800,6382000,GRANT,AVE,,GEARY ST,MAIDEN LN,0,,,,,171.243392841364,,,,,,,
"MULTILINESTRING ((-122.464585794819 37.726136724828, -122.464624815856 37.726202731018, -122.465222585637 37.726416662545, -122.465325835995 37.726410212676))",15752,9835201,OCEAN,AVE,,LAKEWOOD AVE,MANOR DR,25,,,,,246.14445272850801,,,,,,,
