the_geom,OBJECTID,CNN,CORNER,STREET1,STREET2,DESCRIPT,COUNT,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,INSTALL_MO,INSTALL_YR,GLOBALID,UPDATE_MO,UPDATE_YR
POINT (-122.424069749573 37.773880193135),16,25909000,,PAGE ST,OCTAVIA ST,TWO-STAGE LEFT,1,JENWONG,02/18/2016 05:10:33 PM +0000,JENWONG,12/18/2017 07:17:46 PM +0000,2,2016,{AD331AF1-7364-4DA6-BC27-525DE52CDC2B},,
POINT (-122.410305241845 37.782235520694),1287,24922000,,MARKET ST,GOLDEN GATE AVE,INTERSECTION SHARROW,2,JENWONG,12/20/2017 05:57:05 PM +0000,JENWONG,12/20/2017 05:59:25 PM +0000,6,2016,{0AA72E58-3469-4979-B9F5-7A40E634A54C},,
POINT (-122.413161264093 37.780998727483),1616,30045000,,MCALLISTER ST,CHARLES J BRENHAM PL,INTERSECTION SHARROW,1,JENWONG,12/28/2017 08:17:46 PM +0000,JENWONG,12/28/2017 08:17:56 PM +0000,4,2017,{818BD36F-6319-4418-A62F-84E6EE01D670},,
POINT (-122.424069749573 37.773880193135),4,25909000,,PAGE ST,OCTAVIA ST,INTERSECTION SHARROW,2,JENWONG,02/18/2016 05:09:42 PM +0000,JENWONG,12/18/2017 07:17:41 PM +0000,2,2016,{A62E40AA-5C97-4EF6-9B61-4D39DB194F07},,
POINT (-122.428670387295 37.767739778754),1613,25878000,,14TH ST,MARKET ST,MIXING ZONE,1,JENWONG,12/27/2017 11:40:30 PM +0000,JENWONG,12/27/2017 11:40:51 PM +0000,11,2016,{BBCF8928-F228-4268-BFF3-0CCC6F20370C},,
POINT (-122.410944300976 37.769416135446),17,24216000,,DIVISION ST,11TH ST,INTERSECTION SHARROW,1,JENWONG,12/15/2016 10:47:43 PM +0000,JENWONG,12/21/2017 10:18:48 PM +0000,9,2015,{BF5228D8-873E-4E2E-9F4B-FBC07902E804},,
POINT (-122.424069749573 37.773880193135),38,25909000,"W, E",PAGE ST,OCTAVIA ST,BIKE BOX,2,JENWONG,02/18/2016 05:08:35 PM +0000,JENWONG,12/18/2017 07:17:42 PM +0000,2,2016,{AB0411AD-630D-4D6A-BA53-7BE22D42AD21},,
POINT (-122.410305241845 37.782235520694),1285,24922000,,MARKET ST,GOLDEN GATE AVE,TWO-STAGE LEFT,1,JENWONG,12/20/2017 05:55:57 PM +0000,JENWONG,12/20/2017 05:59:24 PM +0000,6,2016,{6CE5CEE1-E6C0-49BA-9EA7-A70CABC73D51},,
POINT (-122.407314287894 37.807385017158),1284,25474000,,THE EMBARCADERO,NORTH POINT ST,INTERSECTION SHARROW,2,JENWONG,12/13/2017 10:35:40 PM +0000,JENWONG,12/28/2017 08:09:41 PM +0000,6,2017,{E7B9C01D-CFDF-464E-845B-2543AE9E1C67},,
POINT (-122.433087686694 37.764200655918),1605,25804000,,MARKET ST,16TH ST,INTERSECTION SHARROW,6,JENWONG,12/27/2017 11:34:00 PM +0000,JENWONG,01/17/2018 07:27:45 PM +0000,11,2016,{7ECAB3A6-C64F-46BD-80C7-51E9C4AFD3C2},,
